timestamp,battery_voltage,humidity,rssi,snr,temperature,gateway_id,losant_id
2024-11-07T14:03:33.436Z,3.624,59.1,-101,8,18.6,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-07T14:23:33.190Z,3.624,59.2,-103,9,18.5,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-07T14:43:32.956Z,3.618,59.2,-103,8.5,18.6,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-07T15:03:32.697Z,3.624,59.3,-104,8.2,18.3,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-07T15:23:32.504Z,3.624,59.2,-101,7,18,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-07T15:43:32.255Z,3.624,59.4,-103,9,17.9,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-07T16:03:32.012Z,3.624,59.3,-103,8.2,17.2,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-07T16:43:31.583Z,3.624,59.8,-105,8,16.3,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-07T17:23:31.150Z,3.624,60,-102,6.5,15.5,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-07T17:43:30.924Z,3.624,59.9,-103,8,15.5,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-07T18:03:30.654Z,3.624,60,-105,8.2,15.6,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-07T19:03:30.021Z,3.624,60.2,-102,8.2,16.1,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-07T19:43:29.560Z,3.624,60.4,-103,9.2,16,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-07T20:03:29.359Z,3.624,60.4,-103,8,16.5,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-07T20:43:28.885Z,3.624,60.2,-103,8.2,18.8,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-07T21:03:29.121Z,3.618,59.3,-105,8,23.7,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-07T21:23:28.415Z,3.618,58.9,-107,5.5,26.7,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-07T22:03:27.975Z,3.618,59.3,-105,8.5,28.6,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-07T22:23:27.751Z,3.618,59.6,-103,7.8,29.6,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-07T22:43:27.525Z,3.618,59,-101,7,32.3,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-07T23:03:27.271Z,3.618,59,-102,7.8,33.2,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-07T23:43:26.875Z,3.618,59.2,-107,6.2,32.4,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T00:03:26.632Z,3.618,58.6,-101,6.8,32.8,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T00:23:26.421Z,3.618,58.8,-102,8.5,32.7,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T00:43:26.214Z,3.618,58.7,-114,8.8,33.7,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T01:03:25.940Z,3.618,58.5,-103,7.2,34.3,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T01:23:25.744Z,3.618,58.3,-105,7.8,34.9,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T01:43:25.515Z,3.618,58.2,-101,6.8,35.9,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T02:03:25.302Z,3.618,57.9,-103,9.5,36.1,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T02:23:25.082Z,3.618,58.6,-105,6.2,35.3,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T03:03:24.646Z,3.618,58.3,-105,-2.8,36.8,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T03:23:24.419Z,3.618,58.3,-103,8,36.1,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T03:43:24.205Z,3.618,58.1,-101,8.5,36.6,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T04:03:23.981Z,3.618,58,-107,7,36.3,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T04:43:23.545Z,3.618,58.2,-101,5,36.9,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T05:23:23.076Z,3.618,58.1,-95,8,36.2,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T05:43:22.887Z,3.618,58,-103,9,35,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T06:03:22.666Z,3.618,58,-103,3.8,34.7,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T06:23:22.460Z,3.618,58,-105,9.2,33.7,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T06:43:22.207Z,3.618,58,-105,8.5,32.7,eui-00800000a000018f,65d2bb6e91885514259b6bf8
